Date,Principle,InstallmentAmount,InterestAcrued,InstallmentAmountAfterInterest,PrincipleAfterRemovingAmount,Balance
22/04/2016,13000,500,1.78082191780822,498.219178082192,12501.7808219178,0,
23/04/2016,12501.7808219178,500,1.71257271533121,498.287427284669,12003.4933946331,0,
24/04/2016,12003.4933946331,500,1.64431416364837,498.355685836352,11505.1377087968,0,
25/04/2016,11505.1377087968,500,1.57604626147901,498.423953738521,11006.7137550583,0,
26/04/2016,11006.7137550583,500,1.50776900754223,498.492230992458,10508.2215240658,0,
27/04/2016,10508.2215240658,500,1.43948240055696,498.560517599443,10009.6610064664,0,
28/04/2016,10009.6610064664,500,1.37118643924197,498.628813560758,9511.03219290561,0,
29/04/2016,9511.03219290561,500,1.30288112231584,498.697118877684,9012.33507402792,0,
30/04/2016,9012.33507402792,500,1.23456644849698,498.765433551503,8513.56964047642,0,
01/05/2016,8513.56964047642,500,1.16624241650362,498.833757583496,8014.73588289292,0,
02/05/2016,8014.73588289292,500,1.09790902505383,498.902090974946,7515.83379191798,0,
03/05/2016,7515.83379191798,500,1.02956627286548,498.970433727135,7016.86335819084,0,
04/05/2016,7016.86335819084,500,0.96121415865628,499.038785841344,6517.8245723495,0,
05/05/2016,6517.8245723495,500,0.892852681143767,499.107147318856,6018.71742503064,0,
06/05/2016,6018.71742503064,500,0.824481839045294,499.175518160955,5519.54190686969,0,
07/05/2016,5519.54190686969,500,0.75610163107804,499.243898368922,5020.29800850077,0,
08/05/2016,5020.29800850077,500,0.687712055959009,499.312287944041,4520.98572055673,0,
09/05/2016,4520.98572055673,500,0.619313112405031,499.380686887595,4021.60503366913,0,
10/05/2016,4021.60503366913,500,0.550904799132758,499.449095200867,3522.15593846826,0,
11/05/2016,3522.15593846826,500,0.482487114858666,499.517512885141,3022.63842558312,0,
12/05/2016,3022.63842558312,500,0.414060058299058,499.585939941701,2523.05248564142,0,
13/05/2016,2523.05248564142,500,0.345623628170058,499.65437637183,2023.39810926959,0,
14/05/2016,2023.39810926959,500,0.277177823187615,499.722822176812,1523.67528709278,0,
15/05/2016,1523.67528709278,500,0.208722642067504,499.791277357932,1023.88400973485,0,
16/05/2016,1023.88400973485,500,0.140258083525322,499.859741916475,524.024267818373,0,
17/05/2016,524.024267818373,500,0.0717841462764894,499.928215853723,24.0960519646492,0,
18/05/2016,24.0960519646492,500,0.00330082903625331,499.996699170964,0,475.900647206315,
